offset_x,offset_y,1996-08-30 00:00:00,1998-09-18 00:00:00,1999-09-02 00:00:00,2000-08-14 00:00:00,2003-08-18 00:00:00,2004-09-03 00:00:00,2005-08-19 00:00:00,2006-08-22 00:00:00,2007-08-17 00:00:00,2008-08-25 00:00:00,2009-08-17 00:00:00,2010-08-23 00:00:00,2011-08-14 00:00:00,2012-08-24 00:00:00,2013-08-26 00:00:00,2014-08-24 00:00:00,2015-08-23 00:00:00,2016-08-22 00:00:00,2017-08-21 00:00:00,2018-08-20 00:00:00,2019-08-19 00:00:00
80,70,36,36,39,34,31,43,42,46,37,42,29,46,44,48,36,45,35,38,43,49,42
80,80,29,42,38,27,42,39,40,34,43,36,40,43,48,45,36,34,37,43,39,48,54
80,90,34,40,38,34,36,41,34,35,47,34,35,47,41,41,36,44,45,46,45,37,54
80,100,40,40,41,38,40,43,39,41,43,38,35,48,38,45.5,38,38,38,48,47,38,57
90,0,36,45,41,36,37,36,38,-999,47,37,38,37,40,42,42,47,37,39,45,40,46
90,10,33,41,43,34,49,38,42,37,43,37,33,50,45,46,43,51,38,45,42,46,48
90,20,36,40,34,36,41,44,47,42,45,38,33,44,44,45,34,42,36,45,45,44,47
90,30,35,49,39,35,42,40,45,42,42,40,39,45,40,39,37,43,37,48,44,55,51
90,40,26,40,34,37,38,47,42,46,42,39,43,58,38,34,37,42,33,46,47,42,48
90,50,33,42,38,36,35,41,42,45,40,39,32,46,48,43,44,38,43,46,49,48,49
90,60,35,41,42,33,36,47,39,40,51,39,35,44,42,40,32,43,47,41,45,44,46
90,70,29,36,35,27,36,41,42,33,45,36,38,49,38,39,30,43,39,42,45,47,41
90,80,27,40,30,38,36,39,44,32,42,32,32,46,44,42.5,36,34,31,44,44,46,48
90,90,36,48,47,38,39,49,40,36,42,41,40,41,36,34.5,35,33,35,41,36,47,44
90,100,34,51,46,32,28,53,54,50,51,41,40,45,38,39,42,43,36,38,34,49,39
100,0,29,39,40,34,30,40,37,-999,44,47,35,41,45,51,40,42,40,54,51,52,52
100,10,34,43,40,35,43,40,38,46,38,40,32,43,37,50,39,34,34,44,43,56,46
100,20,32,41,35,37,33,40,43,40,44,39,42,38,42,41,34,48,34,46,54,55,47
100,30,39,43,46,42,33,52,42,44,53,30,33,50,44,47,39,36,37,45,45,48,53
100,40,30,48,32,38,43,40,43,44,37,23,44,52,38,39,37,48,37,46,44,42,48
100,50,27,42,35,35,40,43,41,44,37,33,40,58,43,38,32,45,40,44,40,44,45
100,60,36,51,40,45,37,50,41,44,47,40,29,46,40,51,43,46,48,51,40,46,44
100,70,33,39,35,31,41,43,31,40,37,30,42,47,46,41.5,34,45,41,39,46,45,50
100,80,30,36,34,31,42,44,31,45,38,40,33,48,39,41,37,42,32,45,43,45,30
100,90,34,37,35,26,38,40,40,43,45,31,36,42,34,34,41,40,41,44,46,46,43
100,100,27,36,34,30,37,38,40,33,41,33,38,47,38,40,38,42,38,41,44,44,39
