File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
SPL3SMP_006_Soil_Moisture_Retrieval_Data_PM_landcover_class_fraction_pm_1_doy2017325_aid0001,Soil_Moisture_Retrieval_Data_PM_landcover_class_fraction_pm,aid0001,2017-11-21,3834.0,0.0002,0.4961,"(0.0002,0.4961)",0.2087,0.1209,0.0146,0.3004,0.4961,0.2066,0.0002,0.1086
SPL3SMP_006_Soil_Moisture_Retrieval_Data_PM_landcover_class_fraction_pm_2_doy2017325_aid0001,Soil_Moisture_Retrieval_Data_PM_landcover_class_fraction_pm,aid0001,2017-11-21,3790.0,0.0002,0.3186,"(0.0002,0.3186)",0.0704,0.0653,0.0043,0.1083,0.2446,0.0491,0.0002,0.0173
SPL3SMP_006_Soil_Moisture_Retrieval_Data_PM_landcover_class_fraction_pm_0_doy2017326_aid0001,Soil_Moisture_Retrieval_Data_PM_landcover_class_fraction_pm,aid0001,2017-11-22,5245.0,0.1925,1.0,"(0.1925,1.0)",0.6496,0.1954,0.0382,0.8106,1.0,0.6437,0.1925,0.4937
SPL3SMP_006_Soil_Moisture_Retrieval_Data_PM_landcover_class_fraction_pm_1_doy2017326_aid0001,Soil_Moisture_Retrieval_Data_PM_landcover_class_fraction_pm,aid0001,2017-11-22,5237.0,0.0002,0.4901,"(0.0002,0.4901)",0.1996,0.1152,0.0133,0.2828,0.4901,0.1964,0.0002,0.1053
SPL3SMP_006_Soil_Moisture_Retrieval_Data_PM_landcover_class_fraction_pm_2_doy2017326_aid0001,Soil_Moisture_Retrieval_Data_PM_landcover_class_fraction_pm,aid0001,2017-11-22,5192.0,0.0002,0.3186,"(0.0002,0.3186)",0.0767,0.0649,0.0042,0.1177,0.2604,0.0598,0.0002,0.0217
SPL3SMP_006_Soil_Moisture_Retrieval_Data_PM_landcover_class_fraction_pm_0_doy2017327_aid0001,Soil_Moisture_Retrieval_Data_PM_landcover_class_fraction_pm,aid0001,2017-11-23,5163.0,0.1838,1.0,"(0.1838,1.0)",0.6486,0.1922,0.0369,0.8058,1.0,0.6414,0.1838,0.4973
SPL3SMP_006_Soil_Moisture_Retrieval_Data_PM_landcover_class_fraction_pm_1_doy2017327_aid0001,Soil_Moisture_Retrieval_Data_PM_landcover_class_fraction_pm,aid0001,2017-11-23,5155.0,0.0002,0.4961,"(0.0002,0.4961)",0.2032,0.1158,0.0134,0.2867,0.4961,0.199,0.0002,0.1093
SPL3SMP_006_Soil_Moisture_Retrieval_Data_PM_landcover_class_fraction_pm_2_doy2017327_aid0001,Soil_Moisture_Retrieval_Data_PM_landcover_class_fraction_pm,aid0001,2017-11-23,5110.0,0.0002,0.3186,"(0.0002,0.3186)",0.0752,0.0641,0.0041,0.1166,0.2601,0.0584,0.0002,0.0207
SPL3SMP_006_Soil_Moisture_Retrieval_Data_PM_landcover_class_fraction_pm_0_doy2017328_aid0001,Soil_Moisture_Retrieval_Data_PM_landcover_class_fraction_pm,aid0001,2017-11-24,3866.0,0.1838,1.0,"(0.1838,1.0)",0.6622,0.1892,0.0358,0.8163,1.0,0.6581,0.1838,0.5158
SPL3SMP_006_Soil_Moisture_Retrieval_Data_PM_landcover_class_fraction_pm_1_doy2017328_aid0001,Soil_Moisture_Retrieval_Data_PM_landcover_class_fraction_pm,aid0001,2017-11-24,3863.0,0.0002,0.4961,"(0.0002,0.4961)",0.2078,0.1194,0.0143,0.2982,0.4961,0.2049,0.0002,0.1084
SPL3SMP_006_Soil_Moisture_Retrieval_Data_PM_landcover_class_fraction_pm_2_doy2017328_aid0001,Soil_Moisture_Retrieval_Data_PM_landcover_class_fraction_pm,aid0001,2017-11-24,3821.0,0.0002,0.3186,"(0.0002,0.3186)",0.0722,0.0656,0.0043,0.1115,0.2505,0.0515,0.0002,0.0183
SPL3SMP_006_Soil_Moisture_Retrieval_Data_PM_landcover_class_fraction_pm_0_doy2017329_aid0001,Soil_Moisture_Retrieval_Data_PM_landcover_class_fraction_pm,aid0001,2017-11-25,5207.0,0.1838,1.0,"(0.1838,1.0)",0.6491,0.1953,0.0381,0.8103,1.0,0.6435,0.1838,0.4932
SPL3SMP_006_Soil_Moisture_Retrieval_Data_PM_landcover_class_fraction_pm_1_doy2017329_aid0001,Soil_Moisture_Retrieval_Data_PM_landcover_class_fraction_pm,aid0001,2017-11-25,5199.0,0.0002,0.4901,"(0.0002,0.4901)",0.1993,0.1149,0.0132,0.2817,0.4901,0.1957,0.0002,0.1054
SPL3SMP_006_Soil_Moisture_Retrieval_Data_PM_landcover_class_fraction_pm_2_doy2017329_aid0001,Soil_Moisture_Retrieval_Data_PM_landcover_class_fraction_pm,aid0001,2017-11-25,5154.0,0.0002,0.3186,"(0.0002,0.3186)",0.0771,0.0648,0.0042,0.119,0.2633,0.0607,0.0002,0.0221
SPL3SMP_006_Soil_Moisture_Retrieval_Data_PM_landcover_class_fraction_pm_0_doy2017330_aid0001,Soil_Moisture_Retrieval_Data_PM_landcover_class_fraction_pm,aid0001,2017-11-26,4848.0,0.1838,1.0,"(0.1838,1.0)",0.647,0.1921,0.0369,0.8031,1.0,0.6395,0.1838,0.496
SPL3SMP_006_Soil_Moisture_Retrieval_Data_PM_landcover_class_fraction_pm_1_doy2017330_aid0001,Soil_Moisture_Retrieval_Data_PM_landcover_class_fraction_pm,aid0001,2017-11-26,4840.0,0.0002,0.4961,"(0.0002,0.4961)",0.2018,0.1148,0.0132,0.2831,0.4961,0.1969,0.0002,0.1093
SPL3SMP_006_Soil_Moisture_Retrieval_Data_PM_landcover_class_fraction_pm_2_doy2017330_aid0001,Soil_Moisture_Retrieval_Data_PM_landcover_class_fraction_pm,aid0001,2017-11-26,4795.0,0.0002,0.3186,"(0.0002,0.3186)",0.0759,0.064,0.0041,0.1168,0.2594,0.0594,0.0002,0.0216
SPL3SMP_006_Soil_Moisture_Retrieval_Data_PM_landcover_class_fraction_pm_0_doy2017331_aid0001,Soil_Moisture_Retrieval_Data_PM_landcover_class_fraction_pm,aid0001,2017-11-27,4294.0,0.2043,1.0,"(0.2043,1.0)",0.6689,0.1904,0.0363,0.8253,1.0,0.6676,0.2043,0.5196
